City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,,,,,,,,
Chennai,Shopper's Stop,6,"No 2, KRM Centre, Chetpet Twin District Centre, Ground Floor, Harrington Road, Chetpet, Chennai - 600031 (Near RBS Bank & Chetpet Signal, Behind HP Towers)",13.0688473,80.2420739,600031,,,FALSE,
,,,"No 137, Grand Mall, Ground, 1st & 2nd Floor, Tambaram Velacheri Main Road, Velacheri, Chennai - 600042 (Near Railway Station, Dr Seetharam Nagar)",12.9719724,80.2203988,600042,,,TRUE,
,,,"No 136, Shymala Towers, 1st & 2nd Floor, Arcot Road, Saligramam, Chennai - 600093 (Near Avichi School).",13.0481696,80.1985705,600093,,,FALSE,
,,,"Marketstreet, Gopal Colony, Perambur, Chennai - 600011",13.1119107,80.236822,600011,,,FALSE,
,,,"STORE NO.G 58, VR MALL, JAWAHARLAL NEHRU RD, Anna Nagar West, Chennai - 600101",13.0805465,80.197132,600101,,,FALSE,
,,,"PHOENIX MARKET CITY MALL, UG51 VELACHERY MAIN ROAD, Chennai - 600001",12.9905058,80.2169764,600001,,,FALSE,
,,,,,,,,,,
,Brand Factory,5,"1 St Floor, Brigade Vantage, OMR Service Road, Kandanchavadi, Chennai - 600096 (Near Apollo Hospital)",12.9660902,80.247936,600096,,,FALSE,
,,,"Annai Traders, Suryagandhi Street, Thirumullaivoyal, Chennai - 600062 (Near Bible College)",13.1298002,80.1290384,600062,,,FALSE,
,,,"12th Ave, Santam Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",13.0884369,80.1950635,600101,,,FALSE,
,,,"Jones Towers, Velachery - Tambaram Main Rd, Kamakoti Nagar, Pallikaranai, Chennai, Tamil Nadu 600100",12.9428705,80.2079915,600100,,,FALSE,
,,,"No 54 Lattice Bridge, LB Rd, Thiruvanmiyur, Chennai, Tamil Nadu 600041",12.9818836,80.2534332,600041,,,FALSE,
,,,,,,,,,,
,Westside,8,"No; 84, G N Chetty Road, T Nagar, Chennai - 600017 (Opposite HDFC Bank)",13.0427541,80.2365284,600017,,,FALSE,
,,,"No 39/19 Dev Apartment, Gandhi Nagar 1st Main Road, Adyar, Chennai - 600020 (Near Spencer Super Market)",13.0069079,80.253345,600020,,,FALSE,
,,,"No 49/50 L Express Avenue Ground Floor Shop No S064/164, Whites Road, Royapettah, Chennai - 600014",13.0584546,80.2641844,600014,,,FALSE,
,,,"Gf & 1f, Bsr Mall, 378, Jothi Nagar, Thoraipakkam, Old Mahabalipuram Road, Thoraipakkam, Chennai - 600097",12.9495363,80.2404732,600097,,,TRUE,
,,,"V R Mall, Ground Floor, Shop No G5, G6, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040 (Near Metro Zone & Thirumangalam Metro Station, Next to Vee Care Hospital)",13.0805465,80.197132,600040,,,TRUE,
,,,"The Forum Vijaya Mall No 183, NSK Salai, Vadapalani, Chennai - 600026 (Opposite Kamala Cinema Hall)",13.0498937,80.2095018,600026,,,TRUE,
,,,"No 769 Spencer Plaza Phase II G-50, Mount Road, Chennai - 600002",13.0615102,80.2614606,600002,,,FALSE,
,,,"Express Avenue Mall, Club Road, Mount Road, Chennai - 600002 (Express Estates, No. 2, Anna Salai)",13.0584546,80.2641844,600002,,,TRUE,
,,,,,,,,,,
,Pantaloons,23,"No 150/151, Alpha Centre, 1st & 2nd Floor, North Usman Road, T Nagar, Chennai - 600017 (Opposite Murugan Idly Shop)",13.0451049,80.2322996,600017,,,FALSE,
,,,"No 149152, South Usman Road, T Nagar, Chennai - 600017 (Parthasarathi Puram)",13.0349248,80.2303151,600017,,,FALSE,
,,,"No 126, Nelson Manickam Road, Aminjikarai, Chennai - 600030 (Opposite Sangeetha Hotel, BNT COonnections)",13.069691,80.224276,600030,,,FALSE,
,,,"No 142, Phoenix Market City, Ground & 1st Floor, Velacheri Main Road, Velacheri, Chennai - 600042 (Near Guru Nanak College)",12.9905058,80.2169764,600042,,,FALSE,
,,,"No 165, State Highway 113, Valasaravakkam, Chennai - 600087 (Near Karpaga Vinayagar Colony)",13.0404251,80.1717748,600087,,,FALSE,
,,,"Express Avenue Mall, No S I 50 A & 50 B, Shop No 49 & 501, Whites Road, Royapettah, Chennai - 600014 (Near Jaztoon Restaurant)",13.0584546,80.2641844,600014,,,TRUE,
,,,"No 407/7, GST Road, Chromepet, Chennai - 600044 (Opposite Saravana Stores)",12.9558248,80.143314,600044,,,FALSE,
,,,"No 407/7, Chamber, Colony, Chromepet, Great Southern Trunk Road, Chromepet, Chennai - 600044",12.9575289,80.142475,600044,,,FALSE,
,,,"No 15 Ceebros Enclave 1st Floor, 1st Main Road, Adyar, Chennai - 600020 (Near Gandhi Nagar Near Titan Showroom)",13.0072613,80.2515691,600020,,,FALSE,
,,,"33/16, Adyar, Gandhi Nagar, Chennai - 600020",12.9721661,80.2045801,600020,,,FALSE,
,,,"Plot No B&C, Velachery Main Road, Selaiyur, Chennai - 600073 (Next to Viveks, Camp Road Junction)",12.9220804,80.1415555,600073,,,FALSE,
,,,"No 33, Vivira Mall, No F 110B & S 211A, First and Second Floor, Old Mahabalipuram Road, Navalur, Chennai - 603103",12.8504319,80.2262178,603103,,,TRUE,
,,,"No 23 & 24, Commercial Complex, Kottivakkam, Chennai - 600041 (Opposite Induslnd Bank)",12.972821,80.257938,600041,,,FALSE,
,,,"No 5/360, Rajiv Gandhi Salai, Okkiyam Thoraipakkam, Chennai - 600097",12.9300015,80.2325749,600097,,,FALSE,
,,,"No S36 & S37, 2nd Floor, No 44, Jawaharlal Nehru Road, Pillaiyar Koil Street, Anna Nagar West, Chennai - 600101",13.0847334,80.1984292,600101,,,FALSE,
,,,"V R Chennai Mall, 1st & 2nd Floor, Shop No F 63, Pillayar Kovil Street, Jawaharlal Nehru Road, Anna Nagar, Chennai - 600040",13.0805465,80.197132,600040,,,TRUE,
,,,"No 8, Main Road, Adyar, Chennai - 600020 (Dr Radhakrishna Nagar)",12.9945602,80.2589441,600020,,,FALSE,
,,,"Mogappair Plot No. 2/4, Door No. Jj253, Kamabar, J J Nagar, Elangosalai Road, Mogappair, Chennai - 600037 (Mogappair)",13.0871504,80.1847313,600037,,,FALSE,
,,,"No 162, Redhills Road, Ambattur, Chennai - 600053 (Near Rakki Theater)",13.1227814,80.1474268,600053,,,FALSE,
