City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,,,,,,,,
Mumbai,Shopper's Stop,9,"D/211, S V Road, Andheri (West), Mumbai 400058",19.1150743,72.8426492,400058,Andheri(West),,FALSE,
,,,"C/O Khandelwal Estates, Old Bandra Talkies, Linking Road, Bandra (West), 400050",19.061234,72.836207,400050,Bandra(West),,FALSE,
,,,"Krushal Commercial Centre, G M Road, Chembur(West), Mumbai 400089",19.0697853,72.9003827,400089,Chembur(West),,FALSE,
,,,"Unit G/70, F53, S64 R City Mall, LBS Marg, Ghatkopar (West), 400086",19.0996854,72.9163939,400086,Ghatkopar(West),11am–9:30pm,FALSE,
,,,"B/Eureka Towers, 9th Floor, Mindspace, Link Road, Malad (West), 400064",19.1800469,72.8342861,400064,Malad(West),11am–10pm,FALSE,
,,,"InOrbit Mall, Plot A/1406, 28/A, Link Road, Malad (West), 400064",19.1729281,72.8359056,400064,Malad(West),11am–10pm,TRUE,
,,,"Nirmal Lifestyles LBS Marg, Mulund (West), 400080",19.1656026,72.9351217,400080,Mulund(West),11am–9pm,FALSE,
,,,"Unit G/A2 and F/A2, Inorbit Mall, Plot 39/1, Vashi, Navi Mumbai, 400705",19.0657994,73.0009493,400705,Navi,11am–10pm,TRUE,Inorbit Mall
,,,"Dynamix Mall, Y J Reality Ltd, Sant Dhyaneshwar Marg, JVPD Scheme, Near Chandan Cinema Hall, Vile Parle (West), 400049",19.1146403,72.8274212,40049,Vile Parle(West),11am–9:30pm,TRUE,Dynamix Mall
,,,,,,,,,,
,Brand Factory,11,"Times Square , Andheri-Kurla Road , Marol Village ,Andheri East ,Mumbai -400059",19.1080069,72.8837132,400059,Andheri East,11am–9:30pm,FALSE,
,,,"Helix-3, Old Shreyas Cinema, Lal Bahadur Shastri Rd, Near Vijay Sales, Sainath Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",19.094055,72.9128515,40086,Ghatkopar West,11am–9pm,FALSE,
,,,"Umang Towers, Mindspace Complex, Behind Inorbit Mall ,Off Malad Link Road ,Malad West,Mumbai-400064",19.1756702,72.8324763,400064,Malad West,11am–9:30pm,TRUE,Mindspace Complex
,,,"Raghuleela Mall, Opposite Vashi Station, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703",19.0638681,72.9969051,400703,Navi,11am–9:30pm,TRUE,Raghuleela Mall
,,,"Dattani Cube, Bhabola Chulna Rd, Next To Big Bazaar, Papdi, Vasai West, Vasai-Virar, Maharashtra 401201",19.3601141,72.812594,401201,Vasai West,11am–9:30pm,FALSE,
,,,"Space 912, Mira Bhayandar Rd, Opp. Pleasant Park, Thane, Maharashtra 401107",19.2786366,72.8795634,401107,Thane,11am–9:30pm,FALSE,
,,,"Cross Road, Tardeo Rd, Near Tardeo Ac Market, Mumbai, Maharashtra 400034",18.9757537,72.81213,40034,,11am–9:30pm,FALSE,
,,,"Mahavir Nagar, V Souk, Opp. Kamla Sports Club, Sector 10, Kandivali West, Mumbai, Maharashtra 400067",19.212978,72.842562,400067,Kandivali West,11am–9:30pm,FALSE,
,,,"R Mall, 1St Floor, Ghodbunder Service Rd, Dokali Pada, Manpada, Thane West, Thane, Maharashtra 400607",19.2305798,72.9773622,400607,Thane,Temporarily Closed,TRUE,R Mall
,,,"Framjee Cawasjee Institute, Opposite Metro Cinema, Dhobi Talao, Marine Lines, Mumbai, Maharashtra 400002",18.94351,72.828598,400002,Marine Lines,11am–9:30pm,FALSE,
,,,"Kalyan- Sarvodaya Mall,Sarvodaya Mall Shilphata Road, Near Patri Pool, Kalyan, Maharashtra 421301",19.2347201,73.1223287,421301,Kalyan,11am–9:30pm,TRUE,Kalyan - Sarvodaya Mall
,,,,,,,,,,
,Westside,11,"102 - Cosmos Plaza, Jp Road, D.N.Nagar, Andheri West, Mumbai - 400053",19.1286745,72.829833,400053,Andheri West,10:30am–8:30pm,TRUE,Cosmos Plaza
,,,"Army Navy Building, Kala Ghoda, 148, Mahatma Gandhi Marg, Fort, Mumbai - 400001",18.927993,72.830923,400001,Kala Ghoda,10:30am–8:30pm,FALSE,
,,,"Kohinoor Square-Dadar, N. C. Kelkar Marg, R. G. Gadkari Chowk, Shivaji Park, Dadar(West)",19.0249221,72.8415036,,Dadar(West),10am–6pm,FALSE,
,,,"Phoenix Market City, Lal Bahadur Shastri Rd, Kamani, Kurla West",19.0863795,72.8889774,,Kurla WEst,11am–9pm,FALSE,
,,,"Gold Crest Building, Gf & FF - Opp Manubhai Jewelers, L T Road, Nr. Railway Stn., Borivali (W)",19.2291309,72.8523105,,Borivali,10:30am–8:30pm,FALSE,
,,,"67, Ground Floor - Lalbahadur Shastri Road, Amrut Nagar, Ghatkopar West",19.0991894,72.9173925,,Ghatkopar West,11am–9:30pm,FALSE,
,,,"Inifiniti Mall 2, Ground Floor, Unit No 001 Survey No.504 - New Link Road, Near D-Mart, Rajan Pada, Malad West, Mumbai - 400064",19.1848469,72.8345642,400064,Malad West,12am–9pm,TRUE,Inifiniti
,,,Next to Courtyard by Marriott,36.1139293,-95.8929364,,,,FALSE,
,,,"Level 01, Haiko Mall, Central Avenue, Hiranandani Gardens, Powai, Mumabi - 400076",19.1181532,72.9111783,400076,Powai,11am–9pm,TRUE,Haiko Mall
,,,"Infiniti Mall Near Raheja Classic Complex Oshiwara - Phase D, Shastri Nagar, Andheri West",19.1412127,72.8309064,,Andheri West,11am–9pm,TRUE,Infinity Mall
,,,"39 N. S. Patkar Marg, Opp. Dalvi - Hospital, Mumbai - 400007",18.9587045,72.810431,400007,,10:30am–9:30pm,FALSE,
,,,,,,,,,,
,Pantaloons,21,"G-10 & F9a, Metro Junction Mall, Village Netivali, Shil Road, Kalyan - 421306",19.2296376,73.1234003,421306,Kalyan,11am–9:30pm,TRUE,Metro Junction Mall
,,,"Viviana Mall, Cadbury Junction, Eastern Express Highway, Besides Jupiture Hospital, Thane-West 400601",19.2085718,72.9717188,400601,Thane West,10am–8pm,TRUE,Viviana Mall
,,,"Runwal Mall, Opp. Richardson Cruddas Factory, Lbs Marg, Mulund (West) Mumbai -400080",19.1839411,72.9516935,400080,Mulund(West),11am–9:30pm,TRUE,Runwal Mall
,,,"Pantaloons, Infinity Mall, Shop No 103, Near D-Mart, New Link Road, Malad West",19.1848469,72.8345642,,Malad West,11am–9:30pm,TRUE,Infinity Mall
,,,"Darvesh Horizon, Next To Thakur Mall, Western Express Highway, Dahisar Check Post, Dahisar East, Mumbai",19.2618702,72.872981,,Dahisar East,10am–10pm,FALSE,
,,,"Unit No. 262-263, Ii Floor, Link Road, Oshiwara, Andheri W, Mumbai – 400053",19.141266,72.830948,400053,Andheri West,11am–10pm,FALSE,
,,,"Phoenix Market City Kurla Kaveri Estate , L B S Road, Kurla(W) Mumbai-400070",19.0863795,72.8889774,400070,Kurla West,11am–9pm,FALSE,
,,,"Pantaloons, Growel?S 101 Mall, Akruli Road, Kandivali East, Mumbai- 400060",19.2030154,72.859757,400060,Kandivali East,11am–10pm,FALSE,
,,,"L&T Mall, Plot R1, Sector 40, Seawoods Railway Station, Nerul Node, Navi Mumbai – 400706",19.0218844,73.0185706,400706,Navi,11am–10pm,TRUE,L&T Mall
,,,"Sri Vallabh Shopping Centre Sv Road, Near Flyover, Borivali (W) Mumbai-400092",19.2239304,72.8538839,400092,Borivali West,11am–9pm,FALSE,
,,,"Maxus Mall, Ff, Temba Road, Near New Flyover Bridge, Bhayander West, Thane – 401101",19.2956732,72.8487124,401101,NBhayander West,11am–10pm,TRUE,Maxus Mall
,,,"Xperia Mall, Gf, Palava City, Dombivali, Thane, Maharashtra – 421204",19.1654748,73.0750684,421204,Thane West,11am–10pm,TRUE,Xperia Mall
,,,"Pantaloons Woman, Little World Mall, Shop No. 120, Ff, Plot No. 21, Sector-2, Kharghar, Navi Mumbai – 410210",19.0306551,73.0664059,410210,Navi,10:30am–10pm,TRUE,Little World Mall
,,,"Pantaloons Kids, Star Mall, Nc Kelkar Road, Opp Plaza Cinema, Dadar",19.0229667,72.8419961,,Dadar,10:30am–9pm,TRUE,Star Mall
,,,"K-Star Mall, Store No. 3, 4, 5 & 6, First Floor, Diamond Garden, Chembur",19.0521416,72.9014469,,Chembur,11am–10pm,TRUE,K - Star Mall
,,,"R City Mall, F18c, Lbs Marg, Ghatkopar",19.0996854,72.9163939,,Ghatkopar,10am–9pm,TRUE,R City Mall
,,,"Shop No. 2, Beau Pride, Hill Road, Mumbai -400050",19.0551613,72.8324834,400050,,11am–9pm,FALSE,
,,,"The Capital By Lake Shore, Gf: 02a, 02b And Ff: 01,25,26, Survey No 52 & 53, At New Link Road, Nallasopara East, Vasai",19.1898861,72.8354552,,Vasai,,FALSE,
,,,"Ground Floor Siddhi Arcade Narangi Bypass Road, V K Nagar Virar (West) 401303",19.4621373,72.8049913,401303,,10am–4pm,FALSE,
,,,"Kohinoor Square, N.C Kelkar Marg, R.G Gadkari Chowk, Shivaji Park, Dadar (W), Mumbai",19.024923,72.8415047,,Dadar West,11am–10pm,FALSE,
,,,"Ff, Sf & Ff, High Street Phoenix, North Skyzone Senapati Bapat Marg Lower Parel",18.9948509,72.8252115,,,11am–10pm,FALSE,
,,,,,,,,,,
,Max,13,"Lower Ground Floor, City Mall Phoneix Market, Lal Bahadur Shastri Rd, Kamani, Kurla West, Mumbai, Maharashtra 400070",19.0863795,72.8889774,400070,Kurla West,11am–10pm,FALSE,
,, ,"Parle Square Mall, Agarwal Market, Vile Parle (E),",19.1002164,72.845686,,Vile Parle East,10:30am–4pm,TRUE,Parle Square Mall
,,,"Infiniti Mall, Unit No SF201A, 1st Floor, New Link Rd, Malad West, Mumbai, Maharashtra 400064",19.1848469,72.8345642,400064,Malad West,10:30am–10pm,TRUE,Infiniti Mall
,,,"Star Mall, 1st Floor, N C. Kelkar Rd, Dadar West, Mumbai, Maharashtra 400028",19.0228207,72.8419935,400028,Dadar West,10:30am–10pm,TRUE,Star
,,,"BN Agarwal Commercial Complex, 1st & 2nd Flr, Parle Square Mall, Monghibai Rd, Navpada, Vile Parle East, Mumbai, Maharashtra 400057",19.1002164,72.845686,400057,Vile Parle East,10:30am–4pm,TRUE,BN Agarwal Commercial Comples
,,,"Max Retail Devision, R City Mall, No F 39, 1st Floor, Lal Bahadur Shastri Rd, Phase 2, Mumbai, 400086",19.1005564,72.9164804,400086,,10:30am–4pm,TRUE,R City Mall
,,,"1st & 2nd Flr, Growels 101 Mall Western Express Hwy, Akurli Rd, near Police Station, Samata Nagar, Mumbai, Maharashtra 400101",19.2033444,72.8595734,400101,,11am–10pm,FALSE,
,,,"1st Floor, R Mall, Mulund Check Naka, Mulund East, Mumbai, Maharashtra 400080",19.1840208,72.9513545,400080,Mulund East,10:30am–10pm,TRUE,R Mall
,,,"R-Mall, Ghodbunder Road, Thane (W)",19.2305798,72.9773622,,Thane West,10:30am–10pm,TRUE,R Mall
,,,"Service Rd, Laxmi Nagar, Thane West, Thane, Maharashtra 400601",19.2019866,72.9663611,4000601,Thane ,10:30am–10pm,FALSE,
,,,"Inorbit Mall, No F9 & F10, 1st Floor, Palm Beach Rd, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705",19.0657994,73.0009493,400705,Navi,10:30am–10pm,TRUE,Inorbit
,,,"Sector 40, Nerul, Navi Mumbai, Maharashtra 400706",19.0211554,73.0146996,400706,Navi Mumbai,11am–10pm,FALSE,
,,,"Saat Rasta, Mahalakshmi, Mumbai, Maharashtra 401101",18.9807362,72.8265158,401101,,10:30am–10pm,FALSE,
,,,,,,,,,,
,Lifestyle,7,"Phoenix Palladium, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",18.994744,72.8245993,400013,Lower Parel,11am–10pm,FALSE,
,,,"UG - 45, Phoenix Market City, Lal Bahadur Shastri Rd, Kurla, Mumbai, Maharashtra 400077",19.0863795,72.8889774,400077,Kurla,11am–9:30pm,FALSE,
,,,"Oberoi Mall, Western Express Hwy, Goregaon, Mumbai, Maharashtra 400063",19.173808,72.8605943,400063,Goregaon,11am–9:30pm,TRUE,Oberoi
,,,"Bus Depot, R City Mall LBS Marg, Ghatkopar West, near Vikhroli, Mumbai, Maharashtra 400086",19.0996854,72.9163939,400086,Ghatkopar West,,TRUE,R City Mall
,,,"No 639, Runwal Arcade, Lal Bahadur Shastri Rd, Mulund West, Mumbai, Maharashtra 400080",19.172488,72.9409454,400080,Mulund West,,FALSE,
,,,"Senapati Bapat Marg, Upper Worli, Lower Parel, Mumbai, Maharashtra 400013",18.9908892,72.8236391,400013,Lower Parel,,FALSE,
,,,"Shri Sevantilal Khandwala Marg, Malad, Asmita Jyoti Housing Society, Malad West, Mumbai, Maharashtra 400064",19.1962878,72.8274679,400064,Malad West,,FALSE,
,,,,,,,,,,
,Central,4,"Goregaon Central OBEROI MALL International Business Park near OBEROI GARDEN CITY, Yashodham, Goregaon, Mumbai, Maharashtra 400063",19.173725,72.8605168,400063,Goregaon,,TRUE,Geregaon Central OBEROI MALL
,,,"261, Aarey Rd, Peru Baug, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063",19.1662478,72.8513399,400063,Goregaon,,FALSE,
,,,"Kandivali Central Growel's 101 Mall, Akurli Road, Off, Western Express Hwy, Mumbai, Maharashtra 400101",19.2033444,72.8595734,400101,,,TRUE,Kandivali Central Growel's Mall
,,,"43, Colaba Causeway, Badhwar Park, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005",18.9175662,72.8277277,400005,Colaba,,FALSE,
,,,,,,,,,,
,Accessorize,8,"Waterfield Road, Khar, Khar West, Mumbai, Maharashtra 400050",19.0622039,72.8344933,400050,Khar West,,FALSE,
,,,"Unit UG - 63, Lal Bahadur Shastri Rd, Patelwadi.Kurla, Kamani, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.0869923,72.8897252,400070,Kurla West,,FALSE,
,,,"T20B, Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",18.9947953,72.8245836,400013,Lower Parel,,TRUE,Palladium Mall
